SentimentTitle,SentimentHeadline,Title,Headline,Topic,Source,IDLink,BucketTitle,BucketHeadline,AbsDiff
-0.618718433538229,0.7286068518960871,"Economic Growth Makes Workers More Valuable, Not Mandates","A healthy economy is the best way to raise wages """""" more jobs, better pay, as in 2000 when a record percent of the population age 16 and over",economy,Forbes,gqtQVdquZY,negative,positive,1.347325285434316
0.714609862168283,-0.4636060443132659,Microsoft Band 2: The Best Fitness Watch for People Who Really Like to Sweat,"For decades, Microsoft was considered a company distinguished by copycatting and mediocrity. But today, the company is leading, not following. The latest products, like the Surface Pro 4, the Surface Book, and Windows 10, are elegant, coherent, and truly innovative. The company name may be the same, but the people working there seem to be completely different. ",microsoft,Yahoo Tech via Yahoo! News,Q59Xao6f8b,positive,negative,1.178215906481549
-0.319723029768708,0.806951573268514,"North Korea wants to open up its economy, and a small program in ...","But North Korea is very tentatively toying with some capitalist ideas, setting up about 20 special economic zones around the country, allowing",economy,Washington Post,hdlzj2xSbM,negative,positive,1.1266746030372219
0.925,-0.0794970762077995,Arkansas Economy Significantly Improving,"The economy is improving significantly.Consumers are still a little bit apprehensive about running up credit card debt,but are feeling a little bit more comfortable",economy,KARK,gimztVEyph,positive,negative,1.0044970762077996
-0.6260641981525,0.3697916666666671,Opinion: Why independent shops are not inherently more virtuous than large chains,A successful and dynamic economy needs a whole range of businesses of all shapes and sizes ,economy,Liverpool Echo,rVm7RUjSX2,negative,positive,0.9958558648191671
0.962353560852284,-0.0108601257321392,We just got some really great news about the economy,"The US economy created new jobs at an unexpectedly strong pace in December. There was a net increase of 292,000 jobs in the month,",economy,Vox,En29har9x9,positive,neutral,0.9732136865844232
0.508105551126013,-0.4610833333333329,Economists call for cautious optimism about global economy at Davos,"&quot;We see global growth in 2016 as modest and uneven,&quot; Lagarde said at a panel meeting of the World Economic Forum Annual Meeting, adding",economy,Shanghai Daily (subscription),axHBktAVyV,positive,negative,0.9691888844593459
-0.7654655446197429,0.196021048459783,Not all premium economy created equal,"According to Jami Counter, who charts premium economy sections for TripAdvisor's SeatGuru website, the answer is clear: tiny OpenSkies",economy,Travel Weekly,cN6OOhSNxx,negative,positive,0.9614865930795259
0.2916666666666669,-0.65702459246528,China says slowing economy won't stop anti-pollution efforts,"China will not go back to its era of pursuing economic growth at the expense of the environment despite its slowing economy, the country's",economy,Inquirer.net,FYvgOHex7X,positive,negative,0.948691259131947
0.2916666666666669,-0.635586384438287,What It Was Like to Teach Obama to Code,"This is a great story. Code.org launched in 2013 with a video, and we had little more than a video, a great name, and a web site. I was a",obama,Huffington Post,6S1FbMh7Vd,positive,negative,0.9272530511049539
-0.7462405778299649,0.168636793303109,RAC survey says motorists are more worried by fuel economy than ...,"Almost three quarters of motorists said they're more bothered about their fuel economy than health-harming emissions, according to new",economy,This is Money,O1mKDH2FKK,negative,positive,0.9148773711330739
0.367423461417477,-0.540089278334081,Builders may pay more in EP,EAST PALESTINE - The village is considering a move that would bring in more revenue in building permit fees for commercial properties. ,palestine,Lisbon Morning Journal,ZRR8t7bmNk,positive,negative,0.9075127397515581
-0.614192268639994,0.281840160942631,Eyal Goldshmid: Game ruined by Windows 10 bug,Q.: I recently downloaded Windows 10 and really like it except for an issue I am having with my Microsoft Solitaire Collection application. In that,microsoft,TCPalm,fkU7ciZZsP,negative,positive,0.896032429582625
-0.3307189138830739,0.561341399387812,Chikadya defends retrenchments: Blame Malawi ailing economy ...,"Times Group publishes three titles Daily Times, Sunday Times, Malawi News and also owns Times TV, radio and Times Courier. But In the past",economy,Nyasa Times,cyVhkESHDp,negative,positive,0.892060313270886
-0.355756236768943,0.4985094359336079,"Sharing economy: Growth of part-time, flexible jobs offered by ...","They call it the """"""sharing economy"""""" and it is an evolving and apparently very welcome application of the new technologies to working life """""" and,",economy,The Independent,Cs54WrCQas,negative,positive,0.8542656727025509
